Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0.4588,Wed Nov 29 12:53:00 +0000 2017,0.164,0.522,0.313,@BBCNews,Hacking suspect Lauri Love appeals against US extradition https://t.co/uO5SsyX7kc,70
-0.7964,Wed Nov 29 12:38:09 +0000 2017,0.504,0.496,0.0,@BBCNews,Megan Bannister trial: Drug death schoolgirl suppliers jailed https://t.co/otNyDVWEcg,71
0.0,Wed Nov 29 12:33:32 +0000 2017,0.0,1.0,0.0,@BBCNews,Ken Clarke MP questions @DamianGreen about the rumoured Brexit divorce bill of 50bn euros #PMQs… https://t.co/XBIz6NXEvI,72
0.3818,Wed Nov 29 12:24:55 +0000 2017,0.055,0.827,0.118,@BBCNews,RT @bbclaurak: Ken Clarke 1st to raise Brexit Bill - asking for a welcome to the bill saying it’s been a ‘bargain’ to pay so far,73
0.0,Wed Nov 29 12:19:10 +0000 2017,0.0,1.0,0.0,@BBCNews,"""What are you doing to our NHS?"" - Shadow Foreign Secretary @EmilyThornberry asks @DamianGreen #PMQs… https://t.co/GgkG3BTZFN",74
0.0,Wed Nov 29 12:13:27 +0000 2017,0.0,1.0,0.0,@BBCNews,Knowsley Council to sell off 10% off parks for development https://t.co/wWWHxMpjIO,75
0.0,Wed Nov 29 12:07:44 +0000 2017,0.0,1.0,0.0,@BBCNews,First Secretary of State @DamianGreen takes #PMQs today and starts by congratulating Prince Harry and Meghan Markle… https://t.co/CiI7CgVEI6,76
0.0,Wed Nov 29 11:51:45 +0000 2017,0.0,1.0,0.0,@BBCNews,Loan sharks 'hang around the school gates' https://t.co/Q5LlcgDchn,77
0.4215,Wed Nov 29 11:48:58 +0000 2017,0.0,0.872,0.128,@BBCNews,"""Now is the time to get the show on the road"" - Foreign Secretary @BorisJohnson hopes trade relationship talks with… https://t.co/CEJgfTu3jS",78
0.2732,Wed Nov 29 11:33:28 +0000 2017,0.195,0.602,0.203,@BBCNews,Court backs salesman's claim for 13 years of holiday pay https://t.co/3toDX9Mqvd,79
0.0,Wed Nov 29 11:23:48 +0000 2017,0.0,1.0,0.0,@BBCNews,"From Wallis to Meghan - the Royal Family's changing attitudes to marriage and divorce

https://t.co/Kx6VSURFLg https://t.co/roMOFRcKmu",80
0.3612,Wed Nov 29 15:32:04 +0000 2017,0.0,0.762,0.238,@BBCNews,Chennai Six: Britons 'eager to return to families' https://t.co/1GIc0UfGLs,81
0.0,Wed Nov 29 15:28:26 +0000 2017,0.0,1.0,0.0,@BBCNews,Donald Trump retweets far-right group's videos https://t.co/xf53097wrN,82
